"export","file","line","family","input_preconditions","failure_return","panic_reachability_guess","unwind_guard_present","threading_expectation","phase3_disposition"
"RimeLeversCustomizeItem","crates\yune-rime-api\src\levers.rs","499","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversIsFirstRun","crates\yune-rime-api\src\levers.rs","522","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversSettingsIsModified","crates\yune-rime-api\src\levers.rs","544","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversSettingsGetConfig","crates\yune-rime-api\src\levers.rs","557","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"yune_m37_metrics_enable","crates\yune-rime-api\src\lib.rs","490","yune_diagnostic","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"yune_m37_metrics_reset","crates\yune-rime-api\src\lib.rs","495","yune_diagnostic","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"yune_m37_metrics_snapshot_json","crates\yune-rime-api\src\lib.rs","500","yune_diagnostic","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"yune_m43_memory_owner_profile_json","crates\yune-rime-api\src\lib.rs","879","yune_diagnostic","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"yune_startup_trace_begin","crates\yune-rime-api\src\lib.rs","1055","yune_diagnostic","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"yune_startup_trace_finish_json","crates\yune-rime-api\src\lib.rs","1060","yune_diagnostic","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"yune_m37_metrics_free_string","crates\yune-rime-api\src\lib.rs","1086","yune_diagnostic","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetVersion","crates\yune-rime-api\src\lib.rs","1094","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeProcessKey","crates\yune-rime-api\src\lib.rs","1099","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeCommitComposition","crates\yune-rime-api\src\lib.rs","1277","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeClearComposition","crates\yune-rime-api\src\lib.rs","1300","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetInput","crates\yune-rime-api\src\lib.rs","1317","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSetInput","crates\yune-rime-api\src\lib.rs","1345","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetCaretPos","crates\yune-rime-api\src\lib.rs","1370","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSetCaretPos","crates\yune-rime-api\src\lib.rs","1384","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSetOption","crates\yune-rime-api\src\lib.rs","1404","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetOption","crates\yune-rime-api\src\lib.rs","1437","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSetProperty","crates\yune-rime-api\src\lib.rs","1455","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetProperty","crates\yune-rime-api\src\lib.rs","1488","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetStateLabel","crates\yune-rime-api\src\lib.rs","1520","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeGetStateLabelAbbreviated","crates\yune-rime-api\src\lib.rs","1537","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSimulateKeySequence","crates\yune-rime-api\src\lib.rs","1576","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSelectCandidate","crates\yune-rime-api\src\lib.rs","1612","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSelectCandidateOnCurrentPage","crates\yune-rime-api\src\lib.rs","1617","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeDeleteCandidate","crates\yune-rime-api\src\lib.rs","1627","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeDeleteCandidateOnCurrentPage","crates\yune-rime-api\src\lib.rs","1632","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeHighlightCandidate","crates\yune-rime-api\src\lib.rs","1645","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeHighlightCandidateOnCurrentPage","crates\yune-rime-api\src\lib.rs","1652","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeChangePage","crates\yune-rime-api\src\lib.rs","1665","librime_abi","documented C ABI preconditions for this exported function","defined failure return per function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeRegisterModule","crates\yune-rime-api\src\modules.rs","42","librime_abi","C pointers may be null only where documented; process-global registry","0/null/no-op depending on function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeFindModule","crates\yune-rime-api\src\modules.rs","72","librime_abi","C pointers may be null only where documented; process-global registry","0/null/no-op depending on function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeSetNotificationHandler","crates\yune-rime-api\src\notifications.rs","19","librime_abi","C pointers may be null only where documented; process-global registry","0/null/no-op depending on function","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeSetup","crates\yune-rime-api\src\runtime.rs","200","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeSetupLogging","crates\yune-rime-api\src\runtime.rs","210","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetSharedDataDir","crates\yune-rime-api\src\runtime.rs","221","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetUserDataDir","crates\yune-rime-api\src\runtime.rs","226","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetPrebuiltDataDir","crates\yune-rime-api\src\runtime.rs","231","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetStagingDir","crates\yune-rime-api\src\runtime.rs","236","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetSyncDir","crates\yune-rime-api\src\runtime.rs","241","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetUserId","crates\yune-rime-api\src\runtime.rs","246","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetSharedDataDirSecure","crates\yune-rime-api\src\runtime.rs","257","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetUserDataDirSecure","crates\yune-rime-api\src\runtime.rs","268","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetPrebuiltDataDirSecure","crates\yune-rime-api\src\runtime.rs","279","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetStagingDirSecure","crates\yune-rime-api\src\runtime.rs","290","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetSyncDirSecure","crates\yune-rime-api\src\runtime.rs","301","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetUserDataSyncDir","crates\yune-rime-api\src\runtime.rs","312","librime_abi","RimeTraits/string pointers may be null only where documented; secure path buffers require valid writable storage","FALSE/null/empty string depending on accessor","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetSchemaList","crates\yune-rime-api\src\schema_api.rs","15","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeGetCurrentSchema","crates\yune-rime-api\src\schema_selection.rs","26","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeSelectSchema","crates\yune-rime-api\src\schema_selection.rs","49","librime_abi","config/schema handles and C strings must be null only where documented; logical ids validated","FALSE/null/zero depending on query or mutation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeCreateSession","crates\yune-rime-api\src\session.rs","210","librime_abi","session ids may be stale/zero; registry is process-global","0/FALSE/null depending on session operation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeFindSession","crates\yune-rime-api\src\session.rs","219","librime_abi","session ids may be stale/zero; registry is process-global","0/FALSE/null depending on session operation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeDestroySession","crates\yune-rime-api\src\session.rs","227","librime_abi","session ids may be stale/zero; registry is process-global","0/FALSE/null depending on session operation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeCleanupAllSessions","crates\yune-rime-api\src\session.rs","241","librime_abi","session ids may be stale/zero; registry is process-global","0/FALSE/null depending on session operation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeCleanupStaleSessions","crates\yune-rime-api\src\session.rs","250","librime_abi","session ids may be stale/zero; registry is process-global","0/FALSE/null depending on session operation","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global session registry; M56 must define tolerated cross-thread session traffic","guard plus abuse/meta-test"
"RimeLeversUserDictIteratorInit","crates\yune-rime-api\src\userdb.rs","24","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversUserDictIteratorDestroy","crates\yune-rime-api\src\userdb.rs","59","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversNextUserDict","crates\yune-rime-api\src\userdb.rs","74","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversBackupUserDict","crates\yune-rime-api\src\userdb.rs","106","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversRestoreUserDict","crates\yune-rime-api\src\userdb.rs","119","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversExportUserDict","crates\yune-rime-api\src\userdb.rs","134","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"RimeLeversImportUserDict","crates\yune-rime-api\src\userdb.rs","158","levers","levers/userdb pointers and paths valid when non-null; user-dict names logical unless full snapshot path documented","FALSE/null for invalid handles, names, paths, or missing snapshots","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","process-global singleton or immutable table; M56 must document threading policy","guard plus abuse/meta-test"
"yune_web_init","crates\yune-rime-api\src\web_runtime.rs","51","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_process_key","crates\yune-rime-api\src\web_runtime.rs","118","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_select_candidate","crates\yune-rime-api\src\web_runtime.rs","142","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_delete_candidate","crates\yune-rime-api\src\web_runtime.rs","165","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_flip_page","crates\yune-rime-api\src\web_runtime.rs","188","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_deploy","crates\yune-rime-api\src\web_runtime.rs","211","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_customize","crates\yune-rime-api\src\web_runtime.rs","249","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_set_option","crates\yune-rime-api\src\web_runtime.rs","325","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_set_ai_enabled","crates\yune-rime-api\src\web_runtime.rs","363","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_stage_ai","crates\yune-rime-api\src\web_runtime.rs","392","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_cleanup","crates\yune-rime-api\src\web_runtime.rs","438","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_response_json","crates\yune-rime-api\src\web_runtime.rs","458","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_response_handled","crates\yune-rime-api\src\web_runtime.rs","468","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
"yune_web_free_response","crates\yune-rime-api\src\web_runtime.rs","478","yune_web","System.Object[]","System.Object[]","possible via poisoned global Mutex/expect or unchecked internal invariant; no catch_unwind guard today","no","single active WASM service; serialized host calls expected","guard plus abuse/meta-test"
