owner_id,occurrence,m57_present_passes,current_present_runs,m57_passes_consistent,current_runs_consistent,m57_retained_bytes,current_retained_bytes,m57_item_count,current_item_count,m57_mapped_file_bytes,current_mapped_file_bytes,m57_shape,current_shape,status,interpretation
prism.tips_payload,2,2,5,yes,yes,0,0,0,0,0,0,module=prism;structure=tips_payload;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism descriptor tips remain in the byte source,module=prism;structure=tips_payload;byte_class=mmap_file_backed;sharing_scope=file_mapping;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=byte_backed:mmap;evidence_source=yune_m43_memory_owner_profile_json;notes=prism descriptor tips remain in the byte source,unchanged,normalized owner row; paths and session ids excluded
process.after_ready_working_set_unclassified_lower_bound,1,2,5,no,no,472169268..630176564,315063092..323550004,1,1,0,0,varies between passes,varies between runs,process_proxy_observation,absolute macOS process memory proxy; not an additive owner
process.peak_working_set_high_water,1,2,5,no,no,741736448..752746496,444940288..468123648,1,1,0,0,varies between passes,varies between runs,process_proxy_observation,absolute macOS process memory proxy; not an additive owner
runtime.session_state,1,2,5,yes,yes,3181,3181,1,1,0,0,module=runtime;structure=session_state;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=3181;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=1;mapped_file_bytes=0;mapping_mode=SessionState;evidence_source=yune_m43_memory_owner_profile_json;notes=active native session runtime shell excluding shared translator internals,module=runtime;structure=session_state;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=3181;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=1;mapped_file_bytes=0;mapping_mode=SessionState;evidence_source=yune_m43_memory_owner_profile_json;notes=active native session runtime shell excluding shared translator internals,unchanged,normalized owner row; paths and session ids excluded
schema.config,1,2,5,yes,yes,2411,3090,1,1,0,0,module=schema;structure=config;byte_class=overlap_estimate;sharing_scope=logical_overlap;retained_estimate_bytes=2411;non_overlapping_reducible_bytes=0;logical_bytes=2411;item_count=1;mapped_file_bytes=0;mapping_mode=schema_reload_signature;evidence_source=yune_m43_memory_owner_profile_json;notes=deployed YAML config is parsed transiently; retained bytes are reload signatures,module=schema;structure=config;byte_class=overlap_estimate;sharing_scope=logical_overlap;retained_estimate_bytes=3090;non_overlapping_reducible_bytes=0;logical_bytes=3090;item_count=1;mapped_file_bytes=0;mapping_mode=schema_reload_signature;evidence_source=yune_m43_memory_owner_profile_json;notes=deployed YAML config is parsed transiently; retained bytes are reload signatures,changed_shape,normalized owner row; paths and session ids excluded
schema.processors,1,2,5,yes,yes,2327,2327,2,2,0,0,module=schema;structure=processors;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=2327;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=2;mapped_file_bytes=0;mapping_mode=SessionState processors;evidence_source=yune_m43_memory_owner_profile_json;notes=processor and segmentor state installed from the selected schema,module=schema;structure=processors;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=2327;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=2;mapped_file_bytes=0;mapping_mode=SessionState processors;evidence_source=yune_m43_memory_owner_profile_json;notes=processor and segmentor state installed from the selected schema,unchanged,normalized owner row; paths and session ids excluded
session.userdb,1,2,5,yes,yes,24,24,0,0,0,0,module=session;structure=userdb;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=24;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=UserDb;evidence_source=yune_m43_memory_owner_profile_json;notes=per-session learned entries; empty in clean native benchmark runs,module=session;structure=userdb;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=24;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=UserDb;evidence_source=yune_m43_memory_owner_profile_json;notes=per-session learned entries; empty in clean native benchmark runs,unchanged,normalized owner row; paths and session ids excluded
translator.entries_by_code,1,2,5,yes,yes,0,0,0,0,0,0,module=translator;structure=entries_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=compact_table;evidence_source=yune_m43_memory_owner_profile_json;notes=compact storage path does not retain a translator BTreeMap,module=translator;structure=entries_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=compact_table;evidence_source=yune_m43_memory_owner_profile_json;notes=compact storage path does not retain a translator BTreeMap,unchanged,normalized owner row; paths and session ids excluded
translator.entries_by_code,2,2,5,yes,yes,0,0,0,0,0,0,module=translator;structure=entries_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=compact_table;evidence_source=yune_m43_memory_owner_profile_json;notes=compact storage path does not retain a translator BTreeMap,module=translator;structure=entries_by_code;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=compact_table;evidence_source=yune_m43_memory_owner_profile_json;notes=compact storage path does not retain a translator BTreeMap,unchanged,normalized owner row; paths and session ids excluded
translator.leading_fetch_index,1,0,5,yes,yes,missing,0,missing,0,missing,0,missing,"module=translator;structure=leading_fetch_index;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=OnceLock<HashMap<String, Vec<LeadingFetchCode>>>;evidence_source=yune_m43_memory_owner_profile_json;notes=algebra surface spelling to canonical fetch edges, allocated lazily on first indexed reachability lookup; no-algebra paths remain direct",added_current,normalized owner row; paths and session ids excluded
translator.leading_fetch_index,2,0,5,yes,yes,missing,0,missing,0,missing,0,missing,"module=translator;structure=leading_fetch_index;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=OnceLock<HashMap<String, Vec<LeadingFetchCode>>>;evidence_source=yune_m43_memory_owner_profile_json;notes=algebra surface spelling to canonical fetch edges, allocated lazily on first indexed reachability lookup; no-algebra paths remain direct",added_current,normalized owner row; paths and session ids excluded
translator.leading_fetch_seed,1,0,5,yes,yes,missing,0,missing,0,missing,0,missing,"module=translator;structure=leading_fetch_seed;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<String>;evidence_source=yune_m43_memory_owner_profile_json;notes=source-ordered canonical groups retained for lazy algebra-backed reachability: single-character groups for leading-only use, or every heap/source group when prefix fallback has no current prism; no-algebra paths probe directly",added_current,normalized owner row; paths and session ids excluded
translator.leading_fetch_seed,2,0,5,yes,yes,missing,0,missing,0,missing,0,missing,"module=translator;structure=leading_fetch_seed;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Vec<String>;evidence_source=yune_m43_memory_owner_profile_json;notes=source-ordered canonical groups retained for lazy algebra-backed reachability: single-character groups for leading-only use, or every heap/source group when prefix fallback has no current prism; no-algebra paths probe directly",added_current,normalized owner row; paths and session ids excluded
translator.normal_codes,1,2,5,yes,yes,0,0,114653,114653,0,0,module=translator;structure=normal_codes;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=114653;mapped_file_bytes=0;mapping_mode=compact_table.has_code;evidence_source=yune_m43_memory_owner_profile_json;notes=normal code membership delegated to compact storage lookup,module=translator;structure=normal_codes;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=114653;mapped_file_bytes=0;mapping_mode=compact_table.has_code;evidence_source=yune_m43_memory_owner_profile_json;notes=normal code membership delegated to compact storage lookup,unchanged,normalized owner row; paths and session ids excluded
translator.normal_codes,2,2,5,yes,yes,0,0,19975,19975,0,0,module=translator;structure=normal_codes;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=19975;mapped_file_bytes=0;mapping_mode=compact_table.has_code;evidence_source=yune_m43_memory_owner_profile_json;notes=normal code membership delegated to compact storage lookup,module=translator;structure=normal_codes;byte_class=shared;sharing_scope=shared_reference;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=19975;mapped_file_bytes=0;mapping_mode=compact_table.has_code;evidence_source=yune_m43_memory_owner_profile_json;notes=normal code membership delegated to compact storage lookup,unchanged,normalized owner row; paths and session ids excluded
translator.prefix_fallback_window_cache,1,0,5,yes,yes,missing,0,missing,0,missing,0,missing,"module=translator;structure=prefix_fallback_window_cache;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Mutex<Option<Arc<PrefixFallbackWindowCacheEntry>>>;evidence_source=yune_m43_memory_owner_profile_json;notes=single bounded raw prefix window reused across incremental keystrokes; per-call span promotion, ordering, and deduplication remain live",added_current,normalized owner row; paths and session ids excluded
translator.prefix_fallback_window_cache,2,0,5,yes,yes,missing,0,missing,0,missing,0,missing,"module=translator;structure=prefix_fallback_window_cache;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=0;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=Mutex<Option<Arc<PrefixFallbackWindowCacheEntry>>>;evidence_source=yune_m43_memory_owner_profile_json;notes=single bounded raw prefix window reused across incremental keystrokes; per-call span promotion, ordering, and deduplication remain live",added_current,normalized owner row; paths and session ids excluded
translator.spelling_abbreviation_entries,1,0,5,yes,yes,missing,48,missing,0,missing,0,missing,"module=translator;structure=spelling_abbreviation_entries;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashSet<(String, String, String)>;evidence_source=yune_m43_memory_owner_profile_json;notes=heap/source abbreviation provenance retained per expanded candidate row",added_current,normalized owner row; paths and session ids excluded
translator.spelling_abbreviation_entries,2,0,5,yes,yes,missing,48,missing,0,missing,0,missing,"module=translator;structure=spelling_abbreviation_entries;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashSet<(String, String, String)>;evidence_source=yune_m43_memory_owner_profile_json;notes=heap/source abbreviation provenance retained per expanded candidate row",added_current,normalized owner row; paths and session ids excluded
translator.spelling_correction_entries,1,0,5,yes,yes,missing,48,missing,0,missing,0,missing,"module=translator;structure=spelling_correction_entries;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashSet<(String, String, String)>;evidence_source=yune_m43_memory_owner_profile_json;notes=heap/source correction provenance retained per expanded candidate row",added_current,normalized owner row; paths and session ids excluded
translator.spelling_correction_entries,2,0,5,yes,yes,missing,48,missing,0,missing,0,missing,"module=translator;structure=spelling_correction_entries;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashSet<(String, String, String)>;evidence_source=yune_m43_memory_owner_profile_json;notes=heap/source correction provenance retained per expanded candidate row",added_current,normalized owner row; paths and session ids excluded
translator.spelling_correction_surfaces,1,0,5,yes,yes,missing,48,missing,0,missing,0,missing,module=translator;structure=spelling_correction_surfaces;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashSet<String>;evidence_source=yune_m43_memory_owner_profile_json;notes=heap/source correction surfaces retained for exact and prefix guards,added_current,normalized owner row; paths and session ids excluded
translator.spelling_correction_surfaces,2,0,5,yes,yes,missing,48,missing,0,missing,0,missing,module=translator;structure=spelling_correction_surfaces;byte_class=heap_owned_guarded;sharing_scope=session_or_process_heap;retained_estimate_bytes=48;non_overlapping_reducible_bytes=0;logical_bytes=0;item_count=0;mapped_file_bytes=0;mapping_mode=HashSet<String>;evidence_source=yune_m43_memory_owner_profile_json;notes=heap/source correction surfaces retained for exact and prefix guards,added_current,normalized owner row; paths and session ids excluded
